Code,Name,Catagory
S12000005,Clackmannanshire,Geo_Council2019
S12000006,Dumfries and Galloway,Geo_Council2019
S12000008,East Ayrshire,Geo_Council2019
S12000010,East Lothian,Geo_Council2019
S12000011,East Renfrewshire,Geo_Council2019
S12000013,Na h-Eileanan Siar,Geo_Council2019
S12000014,Falkirk,Geo_Council2019
S12000017,Highland,Geo_Council2019
S12000018,Inverclyde,Geo_Council2019
S12000019,Midlothian,Geo_Council2019
S12000020,Moray,Geo_Council2019
S12000021,North Ayrshire,Geo_Council2019
S12000023,Orkney Islands,Geo_Council2019
S12000026,Scottish Borders,Geo_Council2019
S12000027,Shetland Islands,Geo_Council2019
S12000028,South Ayrshire,Geo_Council2019
S12000029,South Lanarkshire,Geo_Council2019
S12000030,Stirling,Geo_Council2019
S12000033,Aberdeen City,Geo_Council2019
S12000034,Aberdeenshire,Geo_Council2019
S12000035,Argyll and Bute,Geo_Council2019
S12000036,City of Edinburgh,Geo_Council2019
S12000038,Renfrewshire,Geo_Council2019
S12000039,West Dunbartonshire,Geo_Council2019
S12000040,West Lothian,Geo_Council2019
S12000041,Angus,Geo_Council2019
S12000042,Dundee City,Geo_Council2019
S12000045,East Dunbartonshire,Geo_Council2019
S12000047,Fife,Geo_Council2019
S12000048,Perth and Kinross,Geo_Council2019
S12000049,Glasgow City,Geo_Council2019
S12000050,North Lanarkshire,Geo_Council2019
S01006506,Culter - 01,Geo_Data_Zone2011
S01006507,Culter - 02,Geo_Data_Zone2011
S01006508,Culter - 03,Geo_Data_Zone2011
S01006509,Culter - 04,Geo_Data_Zone2011
S01006510,Culter - 05,Geo_Data_Zone2011
S01006511,Culter - 06,Geo_Data_Zone2011
S01006512,Culter - 07,Geo_Data_Zone2011
S01006513,"Cults, Bieldside and Milltimber West - 01",Geo_Data_Zone2011
S01006514,"Cults, Bieldside and Milltimber West - 02",Geo_Data_Zone2011
S01006515,"Cults, Bieldside and Milltimber West - 03",Geo_Data_Zone2011
S01006516,"Cults, Bieldside and Milltimber West - 04",Geo_Data_Zone2011
S01006517,"Cults, Bieldside and Milltimber West - 05",Geo_Data_Zone2011
S01006518,"Cults, Bieldside and Milltimber East - 01",Geo_Data_Zone2011
S01006519,"Cults, Bieldside and Milltimber East - 02",Geo_Data_Zone2011
S01006520,"Cults, Bieldside and Milltimber East - 03",Geo_Data_Zone2011
S01006521,"Cults, Bieldside and Milltimber East - 04",Geo_Data_Zone2011
S01006522,"Cults, Bieldside and Milltimber East - 05",Geo_Data_Zone2011
S01006523,"Cults, Bieldside and Milltimber East - 06",Geo_Data_Zone2011
S01006524,"Cults, Bieldside and Milltimber East - 07",Geo_Data_Zone2011
S01006525,"Cults, Bieldside and Milltimber East - 08",Geo_Data_Zone2011
S01006526,Garthdee - 01,Geo_Data_Zone2011
S01006527,Garthdee - 02,Geo_Data_Zone2011
S01006528,Garthdee - 03,Geo_Data_Zone2011
S01006529,Garthdee - 04,Geo_Data_Zone2011
S01006530,Garthdee - 05,Geo_Data_Zone2011
S01006531,Garthdee - 06,Geo_Data_Zone2011
S01006532,"Braeside, Mannofield, Broomhill and Seafield East - 01",Geo_Data_Zone2011
S01006533,"Braeside, Mannofield, Broomhill and Seafield East - 02",Geo_Data_Zone2011
S01006534,"Braeside, Mannofield, Broomhill and Seafield East - 03",Geo_Data_Zone2011
S01006535,"Braeside, Mannofield, Broomhill and Seafield East - 04",Geo_Data_Zone2011
S01006536,"Braeside, Mannofield, Broomhill and Seafield East - 05",Geo_Data_Zone2011
S01006537,"Braeside, Mannofield, Broomhill and Seafield South - 01",Geo_Data_Zone2011
S01006538,"Braeside, Mannofield, Broomhill and Seafield South - 02",Geo_Data_Zone2011
S01006539,"Braeside, Mannofield, Broomhill and Seafield South - 03",Geo_Data_Zone2011
S01006540,"Braeside, Mannofield, Broomhill and Seafield South - 04",Geo_Data_Zone2011
S01006541,"Braeside, Mannofield, Broomhill and Seafield South - 05",Geo_Data_Zone2011
S01006542,"Braeside, Mannofield, Broomhill and Seafield North - 01",Geo_Data_Zone2011
S01006543,"Braeside, Mannofield, Broomhill and Seafield North - 02",Geo_Data_Zone2011
S01006544,"Braeside, Mannofield, Broomhill and Seafield North - 03",Geo_Data_Zone2011
S01006545,"Braeside, Mannofield, Broomhill and Seafield North - 04",Geo_Data_Zone2011
S01006546,"Braeside, Mannofield, Broomhill and Seafield North - 05",Geo_Data_Zone2011
S01006547,Hazlehead - 01,Geo_Data_Zone2011
S01006548,Hazlehead - 02,Geo_Data_Zone2011
S01006549,Hazlehead - 03,Geo_Data_Zone2011
S01006550,Hazlehead - 04,Geo_Data_Zone2011
S01006551,Hazlehead - 05,Geo_Data_Zone2011
S01006552,Hazlehead - 06,Geo_Data_Zone2011
S01006553,Summerhill - 01,Geo_Data_Zone2011
S01006554,Summerhill - 02,Geo_Data_Zone2011
S01006555,Summerhill - 03,Geo_Data_Zone2011
S01006556,Summerhill - 04,Geo_Data_Zone2011
S01006557,Summerhill - 05,Geo_Data_Zone2011
S01006558,Midstocket - 01,Geo_Data_Zone2011
S01006559,Midstocket - 02,Geo_Data_Zone2011
S01006560,Midstocket - 03,Geo_Data_Zone2011
S01006561,Midstocket - 04,Geo_Data_Zone2011
S01006562,Midstocket - 05,Geo_Data_Zone2011
S01006563,Midstocket - 06,Geo_Data_Zone2011
S01006564,Rosemount - 01,Geo_Data_Zone2011
S01006565,Rosemount - 02,Geo_Data_Zone2011
S01006566,Rosemount - 03,Geo_Data_Zone2011
S01006567,Rosemount - 04,Geo_Data_Zone2011
S01006568,Rosemount - 05,Geo_Data_Zone2011
S01006569,Rosemount - 06,Geo_Data_Zone2011
S01006570,Rosemount - 07,Geo_Data_Zone2011
S01006571,West End North - 01,Geo_Data_Zone2011
S01006572,West End North - 02,Geo_Data_Zone2011
S01006573,West End North - 03,Geo_Data_Zone2011
S01006574,West End North - 04,Geo_Data_Zone2011
S01006575,West End South - 01,Geo_Data_Zone2011
S01006576,West End South - 02,Geo_Data_Zone2011
S01006577,West End South - 03,Geo_Data_Zone2011
S01006578,West End South - 04,Geo_Data_Zone2011
S01006579,West End South - 05,Geo_Data_Zone2011
S01006580,West End South - 06,Geo_Data_Zone2011
S01006581,West End South - 07,Geo_Data_Zone2011
S01006582,City Centre West - 01,Geo_Data_Zone2011
S01006583,City Centre West - 02,Geo_Data_Zone2011
S01006584,City Centre West - 03,Geo_Data_Zone2011
S01006585,City Centre West - 04,Geo_Data_Zone2011
S01006586,City Centre West - 05,Geo_Data_Zone2011
S01006587,City Centre East - 01,Geo_Data_Zone2011
S01006588,City Centre East - 02,Geo_Data_Zone2011
S01006589,City Centre East - 03,Geo_Data_Zone2011
S01006590,City Centre East - 04,Geo_Data_Zone2011
S01006591,Ferryhill North - 01,Geo_Data_Zone2011
S01006592,Ferryhill North - 02,Geo_Data_Zone2011
S01006593,Ferryhill North - 03,Geo_Data_Zone2011
S01006594,Ferryhill North - 04,Geo_Data_Zone2011
S01006595,Ferryhill North - 05,Geo_Data_Zone2011
S01006596,Ferryhill North - 06,Geo_Data_Zone2011
S01006597,Ferryhill North - 07,Geo_Data_Zone2011
S01006598,Ferryhill South - 01,Geo_Data_Zone2011
S01006599,Ferryhill South - 02,Geo_Data_Zone2011
S01006600,Ferryhill South - 03,Geo_Data_Zone2011
S01006601,Ferryhill South - 04,Geo_Data_Zone2011
S01006602,Ferryhill South - 05,Geo_Data_Zone2011
S01006603,"Kincorth, Leggart and Nigg North - 01",Geo_Data_Zone2011
S01006604,"Kincorth, Leggart and Nigg North - 02",Geo_Data_Zone2011
S01006605,"Kincorth, Leggart and Nigg North - 03",Geo_Data_Zone2011
S01006606,"Kincorth, Leggart and Nigg North - 04",Geo_Data_Zone2011
S01006607,"Kincorth, Leggart and Nigg North - 05",Geo_Data_Zone2011
S01006608,"Kincorth, Leggart and Nigg South - 01",Geo_Data_Zone2011
S01006609,"Kincorth, Leggart and Nigg South - 02",Geo_Data_Zone2011
S01006610,"Kincorth, Leggart and Nigg South - 03",Geo_Data_Zone2011
S01006611,"Kincorth, Leggart and Nigg South - 04",Geo_Data_Zone2011
S01006612,"Kincorth, Leggart and Nigg South - 05",Geo_Data_Zone2011
S01006613,Cove South - 01,Geo_Data_Zone2011
S01006614,Cove South - 02,Geo_Data_Zone2011
S01006615,Cove South - 03,Geo_Data_Zone2011
